omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode
0.77,3,0.00224,0.39,0.09,0.0,protofilament
0.78,3,0.00224,0.39,0.09,0.0,protofilament
0.79,3,0.00224,0.39,0.09,0.0,protofilament
0.8,3,0.00224,0.39,0.09,0.0,protofilament
0.81,3,0.00224,0.39,0.09,0.0,protofilament
0.82,3,0.00224,0.39,0.09,0.0,protofilament
0.83,3,0.00224,0.39,0.09,0.0,protofilament
0.84,3,0.00224,0.39,0.09,0.0,protofilament
0.85,3,0.00224,0.39,0.09,0.0,protofilament
0.86,3,0.00224,0.39,0.09,0.0,protofilament
0.87,3,0.00224,0.39,0.09,0.0,protofilament
0.88,3,0.00224,0.39,0.09,0.0,protofilament
0.89,3,0.00224,0.39,0.09,0.0,protofilament
0.9,3,0.00224,0.39,0.09,0.0,protofilament
0.91,3,0.00224,0.39,0.09,0.0,protofilament
0.92,3,0.00224,0.39,0.09,0.0,protofilament
0.93,3,0.00224,0.39,0.09,0.0,protofilament
0.94,3,0.00224,0.39,0.09,0.0,protofilament
0.95,3,0.00224,0.39,0.09,0.0,protofilament
0.96,3,0.00224,0.39,0.09,0.0,protofilament
0.97,3,0.00224,0.39,0.09,0.0,protofilament
0.98,3,0.00224,0.39,0.09,0.0,protofilament
0.99,3,0.00224,0.39,0.09,0.0,protofilament
1.0,3,0.00224,0.39,0.09,0.0,protofilament
0.0,4,0.00224,0.39,0.09,0.0,protofilament
0.05,4,0.00224,0.39,0.09,0.0,protofilament
0.1,4,0.00224,0.39,0.09,0.0,protofilament
0.15,4,0.00224,0.39,0.09,0.0,protofilament
0.2,4,0.00224,0.39,0.09,0.0,protofilament
0.25,4,0.00224,0.39,0.09,0.0,protofilament
0.3,4,0.00224,0.39,0.09,0.0,protofilament
0.35,4,0.00224,0.39,0.09,0.0,protofilament
0.4,4,0.00224,0.39,0.09,0.0,protofilament
0.45,4,0.00224,0.39,0.09,0.0,protofilament
