event id,MT id,time (s),velocity (nm/s),equilibrium density (1/nm),number of Ase1 molecules at tip fitted with gaussian (1),number of Ase1 molecules at tip fitted with exponential (1),lengthscale of exponential decay (nm),condition
antiparallel_157,19.0,9.844,83.845,0.086236,27.45,17.391,217.74,antiparallel
antiparallel_157,19.0,12.309,137.19,0.091547,38.081,32.593,49.856,antiparallel
antiparallel_157,19.0,14.758,141.42,0.092621,43.841,33.169,121.03,antiparallel
antiparallel_157,19.0,17.176,125.21,0.095019,59.65,45.11,167.26,antiparallel
antiparallel_157,19.0,20.327,53.626,0.10951,56.683,40.519,567.43,antiparallel
antiparallel_157,19.0,23.728,256.5,0.096,27.311,17.992,151.92,antiparallel
antiparallel_157,19.0,26.208,124.04,0.064801,31.904,19.67,239.26,antiparallel
antiparallel_157,19.0,28.658,173.09,0.070149,30.462,24.689,77.116,antiparallel
antiparallel_157,19.0,31.154,139.37,0.070343,25.34,21.727,47.167,antiparallel
antiparallel_157,19.0,33.947,,0.068145,,,,antiparallel
antiparallel_157,19.0,36.036,,0.065015,,,,antiparallel
antiparallel_160,20.0,0.0,,0.045103,,,,antiparallel
antiparallel_160,20.0,2.917,,0.044813,7.4229,4.6682,106.04,antiparallel
antiparallel_160,20.0,5.382,76.359,0.046216,10.209,3.3564,429.24,antiparallel
antiparallel_160,20.0,8.157,174.28,0.045629,21.64,7.5203,401.77,antiparallel
antiparallel_160,20.0,10.249,241.43,0.044586,15.911,6.7471,259.07,antiparallel
antiparallel_160,20.0,12.729,195.14,0.051891,19.48,11.036,160.69,antiparallel
antiparallel_160,20.0,15.163,95.842,0.05366,19.741,10.17,207.27,antiparallel
antiparallel_160,20.0,17.643,108.7,0.056694,16.624,5.1084,406.81,antiparallel
antiparallel_160,20.0,20.093,200.08,0.061713,17.145,8.0788,168.82,antiparallel
antiparallel_160,20.0,,,0.0052402,,,,antiparallel
antiparallel_160,20.0,22.526,135.17,0.069136,23.119,9.3047,303.47,antiparallel
antiparallel_160,20.0,28.626,197.16,0.094293,37.22,10.867,476.18,antiparallel
antiparallel_160,20.0,31.059,57.239,0.10436,24.659,5.849,1000.0,antiparallel
antiparallel_160,20.0,33.509,89.466,0.11355,43.475,16.315,357.65,antiparallel
antiparallel_160,20.0,35.958,65.331,0.11563,49.343,20.272,302.02,antiparallel
antiparallel_160,20.0,38.407,74.533,0.10822,46.32,20.26,270.74,antiparallel
antiparallel_160,20.0,41.727,41.295,0.1,34.654,11.657,372.22,antiparallel
antiparallel_160,20.0,43.321,202.8,0.091638,26.557,14.086,154.05,antiparallel
antiparallel_160,20.0,45.867,81.863,0.093678,23.573,12.693,124.68,antiparallel
antiparallel_160,20.0,48.251,20.287,0.093678,17.566,8.393,121.6,antiparallel
antiparallel_160,20.0,50.684,54.977,0.096588,21.148,8.4343,175.19,antiparallel
antiparallel_160,20.0,53.664,54.871,0.095586,23.324,6.7617,228.88,antiparallel
antiparallel_160,20.0,56.129,92.56,0.097511,15.715,5.7891,156.15,antiparallel
antiparallel_162,20.0,0.0,,0.040654,,,,antiparallel
antiparallel_162,20.0,2.863,,0.039254,6.8083,2.4446,297.97,antiparallel
antiparallel_162,20.0,4.914,80.643,0.039254,8.5541,2.7365,259.99,antiparallel
antiparallel_162,20.0,7.395,172.94,0.039254,14.408,4.9384,344.9,antiparallel
antiparallel_162,20.0,9.859,191.16,0.043445,9.4704,1.9645,900.27,antiparallel
antiparallel_162,20.0,13.291,222.94,0.04536,21.348,5.7397,1000.0,antiparallel
antiparallel_162,20.0,15.756,132.98,0.044222,18.914,7.2079,334.57,antiparallel
antiparallel_162,20.0,18.205,89.48,0.047421,23.593,6.6746,691.17,antiparallel
antiparallel_162,20.0,20.655,137.92,0.057795,30.134,8.4739,787.47,antiparallel
antiparallel_162,20.0,23.104,329.86,0.055784,28.165,13.317,227.69,antiparallel
antiparallel_162,20.0,25.553,163.44,0.066761,4.2686,4.2114,5.0169,antiparallel
antiparallel_162,20.0,27.987,290.29,0.061465,2.5436e-10,1.2595e-10,999.61,antiparallel
antiparallel_162,20.0,30.733,175.62,0.075002,30.894,11.787,315.07,antiparallel
antiparallel_162,20.0,32.885,,0.094196,,,,antiparallel
antiparallel_162,20.0,35.35,171.29,0.08187,26.834,10.247,274.59,antiparallel
antiparallel_162,20.0,38.329,99.824,0.070218,16.45,5.9069,272.62,antiparallel
antiparallel_162,20.0,40.779,,0.079839,,,,antiparallel
antiparallel_165,21.0,0.0,,0.10053,,,,antiparallel
antiparallel_165,21.0,2.45,,0.093637,15.596,11.973,58.039,antiparallel
antiparallel_165,21.0,4.883,100.02,0.11181,25.746,9.5066,295.32,antiparallel
antiparallel_165,21.0,7.332,111.08,0.10866,34.991,17.561,202.51,antiparallel
antiparallel_165,21.0,9.797,110.67,0.082969,49.317,25.165,250.01,antiparallel
antiparallel_165,21.0,12.839,105.3,0.063039,24.863,9.8014,317.04,antiparallel
antiparallel_165,21.0,15.257,218.79,0.073452,23.255,14.524,121.16,antiparallel
antiparallel_165,21.0,17.706,91.977,0.072174,39.997,23.27,199.07,antiparallel
antiparallel_165,21.0,20.156,95.061,0.066539,41.352,25.629,176.22,antiparallel
antiparallel_165,21.0,23.012,49.745,0.063694,39.185,18.109,288.23,antiparallel
antiparallel_165,21.0,25.07,73.939,0.075928,39.283,9.1235,771.13,antiparallel
antiparallel_165,21.0,27.534,174.49,0.074768,50.218,15.227,645.55,antiparallel
antiparallel_167,21.0,0.0,,0.097287,8.7573,6.9669,26.416,antiparallel
antiparallel_167,21.0,2.449,35.543,0.05005,14.024,9.3295,515.33,antiparallel
antiparallel_167,21.0,4.898,226.12,0.05005,23.996,14.416,207.71,antiparallel
antiparallel_167,21.0,7.348,191.2,0.070892,28.489,21.898,85.463,antiparallel
antiparallel_167,21.0,9.844,70.15,0.08427,18.779,9.1335,159.5,antiparallel
antiparallel_167,21.0,12.854,117.57,0.10043,54.551,34.361,782.26,antiparallel
antiparallel_167,21.0,15.288,126.0,0.11519,51.546,33.329,310.35,antiparallel
antiparallel_167,21.0,17.737,173.1,0.088567,34.287,21.159,243.37,antiparallel
antiparallel_167,21.0,20.537,112.39,0.076528,15.506,6.4349,354.61,antiparallel
antiparallel_167,21.0,22.636,383.53,0.075375,46.561,30.395,327.53,antiparallel
antiparallel_167,21.0,25.132,77.854,0.078907,48.565,34.954,192.5,antiparallel
antiparallel_167,21.0,27.612,56.196,0.080302,46.206,32.953,168.06,antiparallel
antiparallel_167,21.0,30.061,98.076,0.088601,37.741,24.898,187.24,antiparallel
antiparallel_167,21.0,32.51,108.49,0.1025,36.017,22.16,345.36,antiparallel
antiparallel_167,21.0,34.944,73.878,0.10265,39.375,25.558,231.05,antiparallel
antiparallel_167,21.0,37.924,92.448,0.096427,42.269,29.315,195.04,antiparallel
antiparallel_167,21.0,40.357,109.91,0.091179,38.577,27.335,157.49,antiparallel
antiparallel_167,21.0,42.807,33.333,0.086106,31.383,20.893,732.52,antiparallel
antiparallel_167,21.0,45.271,,0.087461,,,,antiparallel
antiparallel_167,21.0,47.705,,0.093977,,,,antiparallel
antiparallel_170,22.0,0.0,,0.054623,12.881,7.5675,329.31,antiparallel
antiparallel_170,22.0,2.449,10.552,0.054623,18.982,12.394,308.93,antiparallel
antiparallel_170,22.0,4.914,55.96,0.058242,18.052,9.9184,291.3,antiparallel
antiparallel_170,22.0,8.02,103.79,0.059472,15.186,9.7544,206.37,antiparallel
antiparallel_170,22.0,11.13,173.13,0.072675,6.2899,3.1094,5.0172,antiparallel
antiparallel_170,22.0,12.807,42.625,0.068521,19.664,10.328,294.93,antiparallel
antiparallel_170,22.0,15.272,67.655,0.0755,18.034,9.8775,423.01,antiparallel
antiparallel_170,22.0,17.721,180.7,0.081064,38.147,30.906,882.0,antiparallel
antiparallel_170,22.0,20.17,50.371,0.0822,31.881,19.752,328.46,antiparallel
antiparallel_170,22.0,22.604,94.079,0.081064,32.537,24.309,814.77,antiparallel
antiparallel_170,22.0,25.038,79.392,0.084474,32.012,25.056,1000.0,antiparallel
antiparallel_170,22.0,27.487,116.14,0.074701,21.364,12.119,310.28,antiparallel
antiparallel_170,22.0,,,0.0,,,,antiparallel
antiparallel_170,22.0,29.92,91.219,0.072786,27.515,14.971,526.78,antiparallel
antiparallel_170,22.0,36.55,104.54,0.081431,14.577,9.6924,1000.0,antiparallel
antiparallel_172,22.0,0.0,,0.067441,,,,antiparallel
antiparallel_172,22.0,2.79,,0.07075,16.757,8.4153,153.82,antiparallel
antiparallel_172,22.0,5.078,49.193,0.070917,14.765,3.3582,924.77,antiparallel
antiparallel_172,22.0,7.542,153.78,0.061411,18.863,4.2681,1000.0,antiparallel
antiparallel_172,22.0,10.007,174.65,0.061507,33.703,14.198,312.73,antiparallel
antiparallel_172,22.0,12.488,66.587,0.067441,20.055,6.734,382.38,antiparallel
antiparallel_174,22.0,0.0,,0.064106,,,,antiparallel
antiparallel_174,22.0,2.433,,0.022493,,,,antiparallel
antiparallel_174,22.0,,,0.0,,,,antiparallel
antiparallel_174,22.0,4.883,,0.055073,,,,antiparallel
antiparallel_174,22.0,10.998,,0.055073,,,,antiparallel
antiparallel_174,22.0,13.483,,0.047296,7.5633,7.2118,5.319,antiparallel
antiparallel_174,22.0,15.896,80.881,0.06338,18.096,9.175,183.47,antiparallel
antiparallel_174,22.0,18.345,48.978,0.063216,8.7973,3.0677,322.33,antiparallel
antiparallel_174,22.0,20.795,271.7,0.058937,19.52,14.567,11.116,antiparallel
antiparallel_174,22.0,23.244,81.245,0.061858,28.453,7.8032,468.65,antiparallel
antiparallel_174,22.0,25.693,131.99,0.070066,32.108,11.229,387.72,antiparallel
antiparallel_174,22.0,28.158,167.43,0.081096,39.008,12.741,445.21,antiparallel
antiparallel_174,22.0,30.623,152.46,0.082445,35.72,13.738,312.4,antiparallel
antiparallel_174,22.0,33.056,49.06,0.08203,28.971,6.6042,894.69,antiparallel
antiparallel_174,22.0,36.051,179.65,0.067553,35.82,12.36,490.48,antiparallel
antiparallel_174,22.0,38.863,6.3783,0.072515,31.361,7.3614,1000.0,antiparallel
antiparallel_174,22.0,40.934,90.057,0.069978,44.191,12.113,737.86,antiparallel
antiparallel_174,22.0,43.383,140.53,0.066199,47.081,15.038,505.1,antiparallel
antiparallel_177,23.0,0.0,,0.032927,,,,antiparallel
antiparallel_177,23.0,2.443,,0.02379,,,,antiparallel
antiparallel_177,23.0,4.867,,0.029474,1.5373,9.8045e-12,899.72,antiparallel
antiparallel_177,23.0,,,0.012558,,,,antiparallel
antiparallel_177,23.0,7.316,82.05,0.00017375,5.3929,3.7858,77.293,antiparallel
antiparallel_177,23.0,14.009,125.82,0.012558,6.5396,2.1496,200.39,antiparallel
antiparallel_177,23.0,16.843,171.93,0.041402,27.862,9.5319,428.29,antiparallel
antiparallel_177,23.0,18.954,117.85,0.048261,21.918,10.861,230.21,antiparallel
antiparallel_177,23.0,21.419,128.97,0.048419,20.008,6.2886,581.03,antiparallel
antiparallel_177,23.0,23.868,192.49,0.046598,36.587,14.404,444.59,antiparallel
