time (s),tau (nm),event id
17.784,459.43,19
20.015,266.14,19
22.464,593.05,19
24.913,256.48,19
27.347,212.72,19
29.78,210.02,19
32.729,1000,19
35.178,556.59,19
38.404,NaN,19
0,NaN,19
2.434,60.53,19
4.867,161.92,19
7.862,482.75,19
10.28,391.15,19
12.851,424.64,19
15.116,570.01,19
17.534,574.65,19
19.968,436.14,19
22.402,377.78,19
24.851,464.2,19
NaN,NaN,19
27.269,479.55,19
33.384,279.32,19
35.833,527.76,19
38.298,528.86,19
41.501,323.49,19
43.181,397.43,19
45.599,495.81,19
48.048,692.91,19
50.451,555.09,19
0,NaN,19
2.418,512.06,19
4.836,371.11,19
7.254,NaN,19
9.704,1000,19
12.153,279.13,19
14.602,757.8,19
17.02,586.02,19
19.856,321.96,19
21.903,226.53,19
